station,lat,lon,catchment_nodes,catchment_area_m2,green_ratio_pct,street_tree_ratio_pct,urban_forest_ratio_pct,river_dist_m,mean_utci_13h,reduction_pct_h07,reduction_pct_h10,reduction_pct_h13,reduction_pct_h16
왕십리역,37.5613,127.0377,3575,8405723,18.33,0.14,15.56,929,40.6,21.4,22.1,29.2,29.2
행당역,37.5572,127.0305,3588,8387586,22.82,0.23,19.9,958,40.7,30.5,31.0,41.2,41.2
응봉역,37.552,127.0353,3850,9805233,23.8,0.3,21.09,247,40.7,41.0,44.3,52.1,51.9
뚝섬역,37.547,127.0475,2637,7927805,21.66,0.28,18.85,668,41.2,38.5,39.3,49.3,49.3
성수역,37.5447,127.0561,1594,6079441,17.09,0.2,15.66,672,41.1,27.5,27.5,38.2,38.1
서울숲역,37.5446,127.0448,2451,7525332,22.35,0.4,19.46,360,41.2,39.8,40.1,51.2,51.1
옥수역,37.5402,127.0171,760,3297190,29.67,0.64,28.54,596,40.0,41.8,41.8,50.7,50.7
