집계구코드,net_node,classic_stops,thermal_stops,tarr
1104057020301,4646375977,27,26,3.7
1104057020312,8214317358,17,17,0.0
1104057020313,8214317350,18,18,0.0
1104057020314,8214317241,26,24,7.69
1104057020315,8214317198,31,30,3.23
1104057020308,8214317241,26,24,7.69
1104057020309,8214317304,28,27,3.57
1104057020310,8214317367,18,17,5.56
1104057020311,8214317373,23,22,4.35
1104057020403,4697491695,28,27,3.57
1104057020401,4697491689,48,41,14.58
1104057020402,4697491695,28,27,3.57
1104058010001,2356306034,40,0,100.0
1104058010106,4697491754,38,25,34.21
1104058010101,4697491761,36,21,41.67
1104058010103,4697491745,34,19,44.12
1104058010102,7838649561,34,19,44.12
1104058010105,4697491734,35,19,45.71
1104058010104,4697491757,37,23,37.84
1104058010107,4697491735,33,19,42.42
1104058010201,4697491696,49,19,61.22
1104058010202,4697491701,49,19,61.22
1104058020004,1717113976,44,38,13.64
1104058020005,1717115957,44,39,11.36
1104058020002,1717114445,48,40,16.67
1104058020003,1717113281,46,40,13.04
1104058020001,1717115788,37,34,8.11
1104058020102,4697513803,38,34,10.53
1104058020101,1717113994,41,37,9.76
1104058020201,1708102182,43,30,30.23
1104058020202,1708118865,42,36,14.29
1104058020203,1708088445,44,33,25.0
1104058020304,1708170479,19,5,73.68
1104058020302,2931458557,26,24,7.69
1104058020303,1717115775,43,37,13.95
1104058020301,1717115786,42,36,14.29
1104058030003,1708135891,26,5,80.77
1104058030002,1708130109,30,7,76.67
1104058030001,1708151542,22,5,77.27
1104058030105,4697502660,27,5,81.48
1104058030104,4697502654,22,5,77.27
1104058030103,4697502662,21,4,80.95
1104058030102,8214317146,29,4,86.21
1104058030101,4697502644,26,4,84.62
1104058030106,8214317147,31,4,87.1
1104059010001,8598787935,7,7,0.0
1104059020004,436840037,7,7,0.0
1104059020005,8598785464,6,6,0.0
1104059020002,436827125,12,1,91.67
1104059020003,436827125,12,1,91.67
1104059020001,4639723027,6,6,0.0
1104059020301,8598787931,8,8,0.0
1104059030002,10117694181,45,39,13.33
1104059030001,3833145730,41,3,92.68
1104059030103,3833145714,32,3,90.62
1104059030102,8495257895,43,0,100.0
1104059030101,4200524612,27,3,88.89
1104059030207,8214316991,40,24,40.0
1104059030205,8214317012,41,20,51.22
1104059030204,8214316859,20,14,30.0
1104059030203,8214316859,20,14,30.0
1104059030202,8214317025,46,24,47.83
1104059030201,8214316960,34,19,44.12
1104059030213,8214317072,29,12,58.62
1104059030212,8214316856,26,16,38.46
1104059030209,8214316974,38,24,36.84
1104059030208,4646012770,23,15,34.78
1104059030211,8214316979,36,23,36.11
1104059030210,8214316987,40,24,40.0
1104062010001,3807096256,31,0,100.0
1104062010003,3807096410,35,0,100.0
1104062010002,3807096449,30,0,100.0
1104062010004,3807096468,35,1,97.14
