stop_id,stop_name,lat,lon,stop_type,node_id
BS_1100_103000111,성수2가3동주민센터,37.54951,127.05552,bus,1306420373
BS_1100_103000112,제인병원,37.54927,127.05694,bus,8952652914
BS_1100_103000113,성동세무서앞,37.54792,127.06241,bus,3785500763
BS_1100_103000114,성동세무서,37.54824,127.06434,bus,3846108090
BS_1100_103000115,송정동서울숲아이파크,37.55194,127.06938,bus,9604558043
BS_1100_103000116,송정동건영아파트,37.55534,127.0713,bus,7856245570
BS_1100_103000117,군자교남단,37.55749,127.07255,bus,9604691751
BS_1100_103000118,신답역,37.57014,127.04759,bus,12389288175
BS_1100_103000119,용답동.로데오거리.답십리역,37.5657,127.05376,bus,13568614970
BS_1100_103000120,서울교통공사.서울새활용플라자,37.56205,127.05691,bus,3785302806
BS_1100_103000121,뚝섬서울숲,37.54462,127.0366,bus,732243898
BS_1100_103000122,뚝섬서울숲,37.54556,127.03624,bus,732241861
BS_1100_103000125,사근동하이츠아파트앞,37.56129,127.04904,bus,3928116187
BS_1100_103000126,사근동하이츠아파트앞,37.56131,127.04869,bus,4359599224
BS_1100_103000127,사근동주민센터,37.56078,127.04584,bus,9809027078
BS_1100_103000128,사근동주민센터,37.56091,127.04593,bus,9809027023
BS_1100_103000129,사근고개,37.56114,127.0445,bus,4735604031
BS_1100_103000130,사근고개,37.56126,127.04451,bus,4735604031
BS_1100_103000131,한양지구대,37.56013,127.04194,bus,9809026995
BS_1100_103000132,한양지구대,37.56024,127.04192,bus,9809026997
BS_1100_103000133,사근동벽산아파트,37.56019,127.04993,bus,4244222641
BS_1100_103000134,뚝섬역8번출구,37.54744,127.04611,bus,4752138022
BS_1100_103000135,뚝섬역2번출구,37.54758,127.04685,bus,4752138025
BS_1100_103000136,뚝섬역5번출구,37.54647,127.04901,bus,5439574961
BS_1100_103000137,뚝섬역4번출구,37.54672,127.04936,bus,5439574956
BS_1100_103000138,성수역1번출구,37.54543,127.05363,bus,436824985
BS_1100_103000139,성수동SK아파트형공장앞,37.54589,127.05023,bus,3856575406
BS_1100_103000140,성수동SK아파트형공장앞,37.54577,127.05003,bus,3856575406
BS_1100_103000141,경동초등학교입구,37.54352,127.04952,bus,4179011696
BS_1100_103000142,경동초등학교입구,37.54339,127.04921,bus,2442096596
BS_1100_103000143,경일초등학교앞,37.54077,127.04834,bus,997780962
BS_1100_103000144,경일초등학교앞,37.54107,127.04823,bus,4179011708
BS_1100_103000145,한양여대앞,37.55951,127.0503,bus,1979309605
BS_1100_103000150,도선고등학교.꽃재교회,37.56695,127.02845,bus,8449830066
BS_1100_103000152,리버하우스,37.5509,127.05101,bus,9083945509
BS_1100_103000153,리버하우스,37.55123,127.05069,bus,436821942
BS_1100_103000156,성동제일새마을금고,37.56078,127.04733,bus,9809027031
BS_1100_103000157,성동제일새마을금고,37.56088,127.0473,bus,436849792
BS_1100_103000159,청계9가.텐즈힐2단지 정문앞,37.57072,127.02538,bus,8442360806
BS_1100_103000162,뚝섬서울숲,37.54339,127.03747,bus,7838649666
BS_1100_103000163,뚝섬서울숲남문,37.54246,127.04278,bus,5578043111
BS_1100_103000164,뚝섬서울숲남문,37.54198,127.04297,bus,5578025697
BS_1100_103000165,용답휴식공원,37.56935,127.04825,bus,8399157717
BS_1100_103000166,용답휴식공원,37.56955,127.04794,bus,8399157717
BS_1100_103000167,성수2가3동주민센터,37.55024,127.05478,bus,9994039375
BS_1100_103000168,극동그린아파트앞,37.54181,127.01126,bus,8213959266
BS_1100_103000169,마장역,37.56677,127.04372,bus,436880740
BS_1100_103000170,행당신동아.행당푸르지오아파트,37.55614,127.03402,bus,4697491475
BS_1100_103000171,숭신초등학교,37.5672,127.02803,bus,9214740250
BS_1100_103000172,극동아파트,37.55797,127.02411,bus,3833113884
BS_1100_103000173,풍림아파트,37.55894,127.02377,bus,8598774292
BS_1100_103000174,벽산아파트,37.5556,127.02569,bus,3833111238
BS_1100_103000175,대림아파트,37.55657,127.02493,bus,3849606084
BS_1100_103000176,행당역,37.557,127.0291,bus,8214317241
BS_1100_103000177,행당역,37.55708,127.02876,bus,8494048089
BS_1100_103000178,무학여고,37.55839,127.03302,bus,1717116637
BS_1100_103000179,극동그린아파트,37.54206,127.0119,bus,8488728724
BS_1100_103000183,성수동차고지,37.53579,127.05568,bus,1855204528
BS_1100_103000185,제민약국,37.53655,127.05864,bus,8502294695
BS_1100_103000186,왕십리자이.신당현대아파트,37.56085,127.02363,bus,8598774293
BS_1100_103000187,왕십리자이.신당현대아파트,37.56099,127.02405,bus,8598774286
BS_1100_103000188,제민약국,37.53651,127.05849,bus,8502294693
BS_1100_103000189,우리은행화양동지점,37.54804,127.06622,bus,7856245614
BS_1100_103000191,황학교.텐즈힐몰,37.57005,127.0236,bus,8442360789
BS_1100_103000278,무학여고,37.55828,127.03382,bus,4674024010
BS_1100_103000279,무학여고,37.55829,127.03422,bus,4674024011
BS_1100_103000280,응봉사거리,37.5553,127.03409,bus,8496926460
BS_1100_103000281,응봉사거리,37.55508,127.03449,bus,4636760153
BS_1100_103000292,왕십리광장.왕십리역4번출구,37.56136,127.03713,bus,2546486043
BS_1100_103000293,왕십리광장.왕십리역7번출구,37.56105,127.03665,bus,9369026450
BS_1100_103000295,왕십리도선동주민센터,37.56778,127.02458,bus,6040902785
BS_1100_103000296,한양여대앞,37.5587,127.05085,bus,2358265970
BS_1100_103000297,한양대동문앞,37.55564,127.04968,bus,3309541909
BS_1100_103000505,행당중학교,37.55383,127.04322,bus,8257610679
BS_1100_103000506,옥수파크힐스아파트앞,37.54726,127.01303,bus,5573095834
BS_1100_103000507,옥수파크힐스아파트앞,37.54702,127.01287,bus,5573095834
BS_1100_103000509,뉴타운아파트,37.56482,127.02711,bus,8615050133
BS_1100_103000514,서울숲리버뷰자이아파트제1주차장,37.55469,127.03939,bus,8332919021
BS_1100_103900001,두산아파트111동,37.55068,127.01618,bus,8213963918
BS_1100_103900002,금호역.3호선,37.54829,127.01663,bus,436827170
BS_1100_103900003,금호역,37.54842,127.01643,bus,436827171
BS_1100_103900004,극동아파트4동,37.54351,127.01168,bus,8213959269
BS_1100_103900005,극동아파트4동,37.54353,127.01159,bus,8213959269
BS_1100_103900006,두산아파트109동,37.54982,127.01676,bus,8213963921
BS_1100_103900007,두산아파트111동,37.55059,127.01608,bus,8213963918
BS_1100_103900008,극동아파트7동,37.54372,127.01267,bus,8213959269
BS_1100_103900009,금남시장앞.백범학원터,37.54827,127.02165,bus,436827166
BS_1100_103900010,금호사거리,37.54818,127.02506,bus,8489958120
BS_1100_103900011,신동아아파트,37.54977,127.0301,bus,2931458557
BS_1100_103900012,신동아아파트후문,37.55469,127.03284,bus,4697513798
BS_1100_103900013,현대공업사앞,37.55009,127.03234,bus,1708165419
BS_1100_103900014,행당서울숲푸르지오109동앞,37.55439,127.0318,bus,4697491484
BS_1100_103900015,삼거리정자,37.55239,127.03169,bus,1717113994
BS_1100_103900016,응봉역.광희중,37.5522,127.0344,bus,7838649590
BS_1100_103900017,성동중앙교회.벽산아파트정문,37.55345,127.02458,bus,3833147092
BS_1100_103900018,무학중학교.무학여고,37.55842,127.03329,bus,1717116637
BS_1100_103900019,무학중학교.무학여고,37.55821,127.03313,bus,1717116637
BS_1100_103900020,원형화단,37.54859,127.01949,bus,3849034870
BS_1100_103900021,두산아파트정문.금호역,37.54853,127.01684,bus,3849034883
BS_1100_103900022,신금호역,37.55459,127.02049,bus,8598787936
BS_1100_103900024,무쇠막,37.54528,127.02469,bus,436827082
BS_1100_103900025,금호1가동주민센터,37.55513,127.0222,bus,8598787935
BS_1100_103900026,대경생활과학고등학교,37.55597,127.01754,bus,8212389311
BS_1100_103900027,금호4가동주민센터.대도빌딩,37.54805,127.02256,bus,4200916249
BS_1100_103900028,화단삼거리,37.54832,127.01987,bus,3807096537
BS_1100_103900029,논골.금호벽산아파트.성동공유센터,37.55555,127.02535,bus,4646012772
BS_1100_103900031,금호산입구,37.55638,127.01939,bus,3849606087
BS_1100_103900032,한진아파트후문,37.55602,127.027,bus,4640923246
BS_1100_103900034,행당서울숲푸르지오109동앞,37.55445,127.03159,bus,4697491484
BS_1100_103900035,벽산아파트정문,37.55293,127.02504,bus,8463699875
BS_1100_103900037,옥수종합사회복지관,37.54088,127.01285,bus,3807095859
BS_1100_103900038,행당2동주민센터,37.55774,127.03065,bus,1717116288
BS_1100_103900039,만물상회앞,37.55285,127.03132,bus,1717115956
BS_1100_103900040,금호119안전센터,37.55415,127.02463,bus,8214316861
BS_1100_103900041,옥수삼성아파트,37.54064,127.01395,bus,3807095148
BS_1100_103900042,상봉노인정앞,37.55287,127.03028,bus,1717113281
BS_1100_103900043,한신아파트,37.55075,127.0193,bus,2718296801
BS_1100_103900045,응봉역.광희중,37.55204,127.03443,bus,7838649588
BS_1100_103900047,금봉어린이집.또또와마트,37.55291,127.02881,bus,1717112559
BS_1100_103900048,경수중학교입구,37.54361,127.05853,bus,3785495812
BS_1100_103900049,옥정중학교,37.54133,127.01133,bus,436836861
BS_1100_103900050,논골입구.성동공유센터,37.55548,127.02571,bus,8214317348
BS_1100_103900051,천은교회.성동청소년상담복지센터,37.55484,127.02678,bus,3833147147
BS_1100_103900052,청계벽산아파트,37.56826,127.03037,bus,9740876781
BS_1100_103900053,왕십리자이.신당현대아파트,37.56085,127.02369,bus,8598774293
BS_1100_103900054,한신아파트,37.55076,127.01941,bus,2718296801
BS_1100_103900056,금호고등학교,37.55316,127.02335,bus,436827110
BS_1100_103900057,GS25,37.5503,127.06716,bus,4177456999
BS_1100_103900058,논골신협.대림아파트후문,37.55751,127.02452,bus,436840037
BS_1100_103900059,금호어린이집,37.55679,127.0184,bus,3849146224
BS_1100_103900060,금봉어린이집.또또와마트,37.55264,127.02879,bus,1717113280
BS_1100_103900061,충북상회,37.55279,127.03101,bus,1717115957
BS_1100_103900062,서울숲푸르지오아파트후문,37.54351,127.02263,bus,436838745
BS_1100_103900065,무학여고,37.55749,127.03391,bus,4674024007
BS_1100_103900067,극동아파트상가,37.54292,127.0121,bus,4634187272
BS_1100_103900068,금호어린이집,37.55669,127.01837,bus,3849146224
BS_1100_103900069,한남하이츠아파트,37.54005,127.01159,bus,3807095126
BS_1100_103900070,금호사거리,37.54796,127.02518,bus,8489958120
BS_1100_103900071,신동아아파트후문,37.55489,127.03269,bus,4697513798
BS_1100_103900072,삼거리정자앞,37.55263,127.03164,bus,1717113994
BS_1100_103900074,현대공업사앞,37.54995,127.03257,bus,1708165419
BS_1100_103900075,중앙병원,37.55196,127.01932,bus,3848968437
BS_1100_103900076,논골사거리,37.55532,127.02481,bus,436832364
BS_1100_103900078,응봉초등학교.대림아파트,37.55107,127.03343,bus,1708159518
BS_1100_103900079,옥수삼성아파트,37.54075,127.01432,bus,3807095151
BS_1100_103900080,우리은행.백범학원터,37.54795,127.02105,bus,3807096460
BS_1100_103900081,금남시장.화단앞,37.54845,127.01934,bus,3807096539
BS_1100_103900082,금호공원,37.54968,127.01958,bus,3849034929
BS_1100_103900083,지하철2호선성수역,37.54477,127.05466,bus,4752138030
BS_1100_103900084,옥수종합사회복지관,37.54089,127.01323,bus,3807095152
BS_1100_103900085,성동구청,37.56396,127.03642,bus,9521848547
BS_1100_103900086,응봉사거리,37.55487,127.03454,bus,7838649547
BS_1100_103900088,무학여고,37.55772,127.03426,bus,4674024008
BS_1100_103900089,한전입구,37.56627,127.03512,bus,8332958009
BS_1100_103900090,극동아파트7동,37.54362,127.01275,bus,8213963866
BS_1100_103900091,화단앞,37.54862,127.01965,bus,3849034870
BS_1100_103900092,성동사회복지관.청계천박물관,37.5703,127.03348,bus,3832952876
BS_1100_103900093,왕약국,37.54834,127.06555,bus,8952652934
BS_1100_103900094,금호공원,37.54965,127.01977,bus,3849034929
BS_1100_103900095,성동구도시관리공단.서울시시설관리공단,37.57183,127.03686,bus,8364319560
BS_1100_103900096,중앙슈퍼,37.54952,127.06653,bus,4177446423
BS_1100_103900097,중앙병원앞,37.55213,127.01947,bus,3848968437
BS_1100_103900098,도선동사거리,37.56677,127.03653,bus,7838649218
BS_1100_103900099,송정동자치회관입구,37.55114,127.06783,bus,4177446033
BS_1100_103900100,논골사거리,37.55613,127.02477,bus,3849606064
BS_1100_103900101,신금호역,37.55434,127.01979,bus,2718296794
BS_1100_103900104,천은교회.성동청소년상담복지센터,37.55459,127.02667,bus,3833147147
BS_1100_103900105,행당2동주민센터,37.55783,127.03042,bus,1717116288
BS_1100_103900106,대경생활과학고등학교,37.55607,127.01752,bus,8212389311
