집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops
1104052010012,114.7,127.02888923856707,37.56091344278083,292,232
1104052010001,13.6,127.02743263000936,37.562785956675654,246,177
1104052010003,813.6,127.032537020366,37.562201079953745,280,217
1104052010002,837.8,127.02709416292386,37.563843297710655,239,178
1104052010005,880.2,127.02746873088816,37.56445672114859,241,187
1104052010004,602.1,127.0258825731047,37.56041802978655,285,0
1104052010007,516.3,127.029559683564,37.56261075631823,268,214
1104052010006,1113.1,127.03147940535658,37.562835686736705,276,216
1104052010009,220.1,127.03163704001896,37.56105516952331,284,218
1104052010008,329.8,127.03023194679544,37.56111961425364,288,221
1104052010010,497.1,127.03047924322566,37.561839603361,271,214
1104052010011,485.1,127.02954670782688,37.56391046316543,255,208
1104052010101,371.4,127.02350252733017,37.55809396431887,293,220
1104052010103,475.9,127.02332565312574,37.55865405804703,248,159
1104052010102,938.5,127.02335740378118,37.55960206798054,282,197
1104052010203,1743.8,127.0241929276859,37.5590194026384,248,159
1104052010202,3.3,127.02563713474048,37.55923622407253,285,221
1104052010205,7.0,127.02657356727606,37.55972821705692,298,239
1104052010204,626.4,127.02551559701094,37.55847195609596,296,212
1104052010201,686.6,127.02460872648848,37.55840873055128,293,220
1104052010401,857.3,127.0255510849931,37.56108293540485,239,172
1104052010403,430.1,127.02538995579712,37.561965005888005,254,194
1104052010402,724.5,127.02628258071444,37.56167605133117,239,172
1104052010501,813.5,127.02790185758244,37.56134488116058,278,223
1104052010502,537.2,127.0279146609241,37.56075403706805,296,236
1104052010801,12.1,127.02682239768356,37.56308993635441,0,0
1104052010901,1010.2,127.02832783191865,37.56230061213213,237,181
1104052010903,443.4,127.02895900369948,37.562127641810456,236,179
1104052010902,398.8,127.02782235823236,37.56250243901373,236,177
1104052011101,824.7,127.02668797263526,37.56078428935383,295,240
1104054010001,381.6,127.03767554906788,37.567111792324354,228,168
1104054010003,956.1,127.0405833061432,37.5701590023215,166,96
1104054010002,761.5,127.04051064471672,37.567758966690576,189,131
1104054010004,666.6,127.04519654516947,37.56875815638988,158,112
1104054010103,6.3,127.04082151448011,37.565896652789576,204,147
1104054010102,464.9,127.0399319682526,37.56636609351371,211,148
1104054010101,226.6,127.0394515362438,37.565958365500634,230,167
1104054010301,679.9,127.03891573453704,37.56677494430081,197,146
1104054010302,471.7,127.0382434265457,37.5669311940186,228,168
1104054010601,270.6,127.04432216735697,37.56967694996839,152,112
1104054010602,301.4,127.0434581699092,37.56858317842452,168,126
1104054010701,163.3,127.04302672457888,37.56911774158525,168,126
1104054010703,374.6,127.04288051099896,37.56957230896986,151,1
1104054010702,334.9,127.04177025575082,37.569385604949275,173,127
1104054010705,236.2,127.04238055316527,37.57052713858784,154,113
1104054010704,188.0,127.0437753594574,37.570165266152635,53,0
1104054010707,396.2,127.042613418096,37.56885450386474,168,126
1104054010706,154.3,127.04311310741936,37.57046913835008,151,1
1104054020008,112.9,127.03482740435892,37.569573623837826,180,138
1104054020009,91.1,127.03603547686744,37.56691846753145,230,185
1104054020010,951.4,127.03668353368418,37.571532701899784,158,114
1104054020006,268.4,127.0348804914484,37.56690218843373,229,185
1104054020007,280.2,127.0364693675262,37.569418339312186,202,142
1104054020004,24.6,127.03485841571484,37.570851948644936,166,108
1104054020005,209.2,127.03353779768383,37.56987213022567,181,144
1104054020002,724.6,127.03402747349568,37.56806949391659,211,0
1104054020003,571.0,127.03685420653244,37.57034086897949,186,135
1104054020001,156.6,127.03584335367368,37.56839691682267,215,164
1104054030001,201.9,127.0424714826867,37.56345720372831,205,146
1104054030006,884.9,127.04270123014538,37.565188272749154,197,123
1104054030005,828.7,127.04419280293892,37.56579889141116,187,123
1104054030004,1090.4,127.04653330248676,37.566726105831464,157,0
1104054030003,613.8,127.04568560792733,37.56374791270627,194,117
1104054030002,272.8,127.04348207812892,37.56300969050845,179,0
1104054030104,35.5,127.04462712544569,37.56525499679663,187,123
1104054030103,1261.4,127.04464512128074,37.56416575755745,191,95
1104054030102,164.3,127.0452818240462,37.564930005882744,187,123
1104054030101,41.8,127.04595832196004,37.565323997668415,165,101
1104054040001,680.3,127.03881104275604,37.564789040452645,233,162
1104054040002,489.6,127.03960154582884,37.56298877719727,249,158
1104054040003,768.8,127.04085074361603,37.5644860019107,234,154
1104054040201,351.5,127.0391101581956,37.565411847678256,232,170
1104054040301,378.1,127.04112613182944,37.56247263866612,247,154
1104054040302,728.6,127.04040862442145,37.56315454951469,242,151
1104054040501,511.8,127.04017249285415,37.56454959518327,239,152
1104054040502,334.1,127.0393583724436,37.5641683820125,238,151
1104055010004,1308.6,127.04058225293416,37.56029444339171,295,166
1104055010001,412.3,127.04007523184228,37.55885255056481,299,166
1104055010003,603.9,127.03966558045904,37.56092593689968,288,170
1104055010002,940.1,127.04074732465996,37.561298497447495,269,159
1104055010005,1013.2,127.0397005187298,37.56181527935899,263,162
1104055020009,259.6,127.048152721006,37.56299347480758,164,88
1104055020010,664.0,127.04562826822216,37.5604339560262,227,132
