집계구코드,net_node,classic_cnt,thermal_cnt,tarr,A_classic,A_thermal,A_loss,gravity_reduction
1104052010012,3833114297,83,35,57.83,168.82599978178862,73.36493178030616,95.46106800148246,56.54405608429271
1104052010001,3833114607,38,20,47.37,89.27529256194482,50.530670093270984,38.74462246867384,43.39904284468223
1104052010003,3832951948,86,34,60.47,188.479516457367,79.9575354053179,108.5219810520491,57.57759946110439
1104052010002,8494029536,38,24,36.84,88.1806535125063,53.850733342412795,34.3299201700935,38.93135149562555
1104052010005,3833114691,48,26,45.83,113.48100959685479,58.50624635999126,54.97476323686353,48.44402022167698
1104052010004,8212501458,57,0,100.0,89.0872880949878,0.0,89.0872880949878,100.0
1104052010007,3833114569,66,28,57.58,155.85432613594085,64.87546524199497,90.97886089394588,58.37429293723382
1104052010006,3832951952,82,32,60.98,181.74398080874244,76.81888586039904,104.9250949483434,57.732363119503205
1104052010009,4200543504,89,31,65.17,187.13758347439682,70.00536996220623,117.13221351219059,62.59149623368734
1104052010008,3833114366,85,32,62.35,177.50140590202673,71.93525629921467,105.56614960281206,59.47341603653557
1104052010010,3833114432,72,31,56.94,164.93887207996497,72.16973418176926,92.76913789819571,56.244556985462935
1104052010011,8615050152,62,33,46.77,154.83996554944306,72.21966621588795,82.62029933355511,53.358510537237905
1104052010102,436840048,62,8,87.1,73.73521889397519,10.116485618711055,63.618733275264134,86.27998157399156
1104052010203,8598774292,28,7,75.0,31.945483541364936,8.828856457537,23.116627083827936,72.36273964642024
1104052010205,3833114120,76,26,65.79,123.64622864970215,47.071782336113266,76.57444631358888,61.93027247966397
1104052010204,4639723022,73,15,79.45,89.03856555677227,20.656998931254314,68.38156662551796,76.79994191047125
1104052010401,4634232798,26,7,73.08,57.48933509580181,7.864494758558477,49.624840337243334,86.32008050631849
1104052010403,3833114426,37,11,70.27,71.36778083989223,17.97886465666196,53.38891618323028,74.80814949676513
1104052010402,4634232798,26,7,73.08,57.48933509580181,7.864494758558477,49.624840337243334,86.32008050631849
1104052010501,8493981052,56,26,53.57,104.0128947249031,50.828745214997625,53.18414950990548,51.13226552397061
1104052010502,3833114280,72,31,56.94,130.9130300870946,59.440738969091456,71.47229111800314,54.5952462260278
1104052010901,8493981080,36,20,44.44,87.18390343027694,48.75241566748736,38.43148776278958,44.08094413153245
1104052010903,8493981097,34,20,41.18,82.55715997610216,48.146615010588235,34.41054496551392,41.680872955749386
1104052010902,8493981068,34,19,44.12,82.16022359894872,45.47796868277443,36.68225491617429,44.647218945304395
1104054010001,3832677068,55,11,80.0,117.71244306758464,35.455712172482855,82.25673089510178,69.87938466953239
1104054010003,3832677156,30,0,100.0,62.79596657632294,0.0,62.79596657632294,100.0
1104054010002,3832677105,45,0,100.0,93.10682546828826,0.0,93.10682546828826,100.0
