집계구코드,net_node,classic_cnt,tarr_single,tarr_median,tarr_p025,tarr_p975,tarr_std,tarr_ci_width
1104052010012,3833114297,83,50.602409638554214,48.663976368804086,0.0,100.0,36.128604117308996,100.0
1104052010001,3833114607,38,42.10526315789473,41.16438619070607,0.0,100.0,32.605300819607926,100.0
1104052010003,3832951948,86,59.30232558139535,57.223643909699476,0.0,100.0,30.691217534923055,100.0
1104052010002,8494029536,38,31.57894736842105,31.10850888482672,0.0,100.0,37.46144389854353,100.0
1104052010005,3833114691,48,43.75,42.81892383455289,0.0,100.0,31.762591480356143,100.0
1104052010004,8212501458,57,100.0,100.0,0.0,100.0,38.46424909520614,100.0
1104052010007,3833114569,66,54.54545454545454,53.055732680739155,0.0,100.0,34.6700855949819,100.0
1104052010006,3832951952,82,59.756097560975604,57.46701274446173,0.0,100.0,36.337934115639314,100.0
1104052010009,4200543504,89,64.04494382022472,61.132453882466564,0.0,100.0,36.89612167268131,100.0
1104052010008,3833114366,85,57.647058823529406,55.228451560815024,0.0,100.0,36.298184540030455,100.0
1104052010010,3833114432,72,55.55555555555556,53.817546713387614,0.0,100.0,35.27124959228581,100.0
1104052010011,8615050152,62,45.16129032258064,44.15212389809603,0.0,100.0,30.883319894105508,100.0
1104052010101,3833113884,71,74.64788732394366,68.98274783840631,0.0,95.91502041462407,37.88962250610432,95.91502041462407
1104052010103,8598774292,28,64.28571428571429,58.85887034996541,0.0,96.42857142857143,39.92809206179528,96.42857142857143
1104052010102,436840048,62,77.41935483870968,71.94102282007893,0.0,100.0,38.36499479240621,100.0
1104052010203,8598774292,28,64.28571428571429,58.85887034996541,0.0,96.42857142857143,39.92809206179528,96.42857142857143
1104052010202,8212501459,64,68.75,65.53778722920745,0.0,96.45798384831572,34.70530244616712,96.45798384831572
1104052010205,3833114120,76,51.31578947368421,48.493158572118226,0.0,97.4995585452409,33.898757101560946,97.4995585452409
1104052010204,4639723022,73,63.013698630136986,58.850640268466606,0.0,98.26453378482474,37.21928765369215,98.26453378482474
1104052010201,3833113884,71,74.64788732394366,68.98274783840631,0.0,95.91502041462407,37.88962250610432,95.91502041462407
1104052010401,4634232798,26,69.23076923076923,64.07403969906214,0.0,92.69101728608877,35.1037704860859,92.69101728608877
1104052010403,3833114426,37,56.75675675675676,53.37468549632184,0.0,93.87326935924881,34.825967267903806,93.87326935924881
1104052010402,4634232798,26,69.23076923076923,64.07403969906214,0.0,92.69101728608877,35.1037704860859,92.69101728608877
1104052010501,8493981052,56,44.642857142857146,42.248661288850286,0.0,100.0,35.51159203514124,100.0
1104052010502,3833114280,72,43.05555555555556,41.56583369084018,0.0,100.0,33.01305762077817,100.0
1104052010901,8493981080,36,38.88888888888889,38.39231493398377,0.0,100.0,34.67261784692441,100.0
1104052010903,8493981097,34,38.23529411764706,37.44661783632715,0.0,100.0,35.61068758867487,100.0
1104052010902,8493981068,34,41.17647058823529,40.38779430691538,0.0,100.0,35.28987028861155,100.0
1104052011101,3833114257,65,46.15384615384615,43.54110319111456,0.0,96.51247640449546,34.105665270421994,96.51247640449546
1104054010001,3832677068,55,80.0,74.79951639953904,0.0,100.0,38.852564105924756,100.0
1104054010003,3832677156,30,100.0,94.33905691408155,0.0,100.0,39.427633323708484,100.0
1104054010002,3832677105,45,100.0,92.45207588544207,0.0,100.0,41.7703719324002,100.0
1104054010004,4197387949,36,66.66666666666666,63.438935959783336,0.0,100.0,35.687020041259075,100.0
1104054010103,10857081080,56,44.642857142857146,41.9294351749827,0.0,98.86884791332326,34.51441851311265,98.86884791332326
1104054010102,5253517887,58,46.55172413793103,43.77775928639205,0.0,98.90785315769142,34.08699551549221,98.90785315769142
1104054010101,10857081045,69,53.62318840579711,50.25512158122321,0.0,99.08196352385656,35.34891842802391,99.08196352385656
1104054010301,5253517894,52,48.07692307692308,45.3266673266793,0.0,98.78183621434812,34.899563059574874,98.78183621434812
1104054010302,3832677068,55,80.0,74.79951639953904,0.0,100.0,38.852564105924756,100.0
1104054010601,3832677140,32,65.625,61.99380295475626,0.0,96.875,35.608837139754016,96.875
1104054010602,3832677103,40,67.5,63.47775096526847,0.0,98.41638707865256,37.17289785723091,98.41638707865256
1104054010701,3832677103,40,67.5,63.47775096526847,0.0,98.41638707865256,37.17289785723091,98.41638707865256
1104054010703,9009916688,27,96.29629629629629,96.29629629629629,0.0,96.29629629629629,28.476264190473714,96.29629629629629
1104054010702,3832677136,39,100.0,92.43679668682961,0.0,100.0,42.307010712869484,100.0
1104054010705,9009916695,28,100.0,92.65779938104563,0.0,100.0,40.9880368465753,100.0
1104054010704,2460188209,2,100.0,100.0,0.0,100.0,32.358460131425744,100.0
1104054010707,3832677103,40,67.5,63.47775096526847,0.0,98.41638707865256,37.17289785723091,98.41638707865256
1104054010706,9009916688,27,96.29629629629629,96.29629629629629,0.0,96.29629629629629,28.476264190473714,96.29629629629629
1104054020008,3832952868,44,54.54545454545454,51.29515229516644,0.0,100.0,38.85223543094455,100.0
1104054020009,3832677066,64,76.5625,71.95367298103679,0.0,100.0,38.47244355770139,100.0
1104054020010,3832677291,32,56.25,52.898125804390396,0.0,98.02048384831572,36.597106304481855,98.02048384831572
1104054020006,3832677058,62,70.96774193548387,66.93107623754543,0.0,100.0,37.106879619649995,100.0
1104054020007,3440267193,54,68.51851851851852,64.38040222764246,0.0,100.0,37.78371018833482,100.0
1104054020004,3832952887,33,63.63636363636363,58.76091026093148,0.0,100.0,40.228953056194996,100.0
1104054020005,3832952872,40,50.0,47.541958923219624,0.0,100.0,38.13135250830248,100.0
1104054020002,13543245071,56,100.0,100.0,0.0,100.0,29.571505120876548,100.0
1104054020003,3832677257,48,66.66666666666666,63.12857723796763,0.0,100.0,37.199962779153225,100.0
1104054020001,3832677099,51,100.0,92.63902137434754,0.0,100.0,41.68085182868104,100.0
1104054030001,3832903597,67,100.0,93.19619566264319,0.6623293456199901,100.0,40.58800667473169,99.33767065438
1104054030006,3832676317,66,100.0,100.0,0.6723646387354446,100.0,37.10501299053884,99.32763536126456
1104054030005,3832676320,62,83.87096774193549,80.41096857227396,0.715743002524828,100.0,36.58963735825575,99.28425699747517
1104054030004,436831391,42,100.0,100.0,0.0,100.0,29.571505120876548,100.0
1104054030003,4197392060,57,59.64912280701754,56.98330473331633,0.7785274764305148,100.0,36.52441004688869,99.22147252356949
1104054030002,3832903347,48,100.0,94.41354300731733,0.9245013782612362,100.0,39.322764956404534,99.07549862173876
1104054030104,3832676320,62,83.87096774193549,80.41096857227396,0.715743002524828,100.0,36.58963735825575,99.28425699747517
1104054030103,3832903628,63,100.0,94.60862563245863,0.7043820024847515,100.0,38.74068299778979,99.29561799751525
1104054030102,3832676320,62,83.87096774193549,80.41096857227396,0.715743002524828,100.0,36.58963735825575,99.28425699747517
1104054030101,3832676321,44,77.27272727272727,73.81928113179615,0.0,100.0,37.26088284294417,100.0
1104054040001,9083521251,72,48.61111111111111,45.631667381680344,0.6163342521741576,100.0,34.765902153685296,99.38366574782584
1104054040002,3832903321,75,44.0,41.61644501645539,0.5916808820871913,100.0,33.36120855323613,99.40831911791281
1104054040003,3832903635,76,43.42105263157895,41.53929869720163,0.583895607322886,100.0,37.8423233210995,99.41610439267711
1104054040201,10857081033,69,53.62318840579711,50.25512158122321,0.0,99.08196352385656,35.345022679437015,99.08196352385656
1104054040301,3832903120,74,39.189189189189186,37.37736529967048,0.599676569682964,100.0,33.39584835072637,99.40032343031703
1104054040302,3832903584,77,48.05194805194805,46.078550257130274,0.5763125474875239,100.0,36.34632070987041,99.42368745251248
1104054040501,3832903626,71,100.0,93.20183261735517,0.6250150162892866,100.0,39.62639679249605,99.37498498371072
1104054040502,3832903611,70,100.0,93.10471594046024,0.6339438022362763,100.0,39.521230947849354,99.36605619776373
1104055010004,3832902772,86,43.02325581395349,41.048508225842404,0.5160007692620854,100.0,38.234286568871774,99.48399923073791
1104055010001,3833006659,81,49.382716049382715,46.955021158735434,0.5478526685992512,100.0,38.045375115537276,99.45214733140075
1104055010003,3832902822,86,43.02325581395349,41.048508225842404,0.5160007692620854,100.0,33.67445867317334,99.48399923073791
1104055010002,3832903062,80,45.0,42.653688063073275,0.5547008269567418,100.0,33.709391871508096,99.44529917304325
1104055010005,3832903091,78,43.58974358974359,41.183269808280286,0.5689239250838377,100.0,32.61469619872478,99.43107607491616
1104055020009,6312216134,42,64.28571428571429,62.15754019326375,0.0,100.0,32.2420324413114,100.0
1104055020010,9809027078,56,44.642857142857146,42.567887402717865,0.7924297527953453,98.21428571428571,32.01412123214395,97.42185596149037
1104055020011,4632551827,36,100.0,93.54453858623336,1.2326685043483152,100.0,39.006313933720676,98.76733149565169
1104055020012,3832902845,68,100.0,92.63902137434754,0.652589208184402,100.0,41.8721351098066,99.3474107918156
1104055020006,1979127145,71,42.25352112676056,41.12049322965309,0.6250150162892866,98.21564741256627,30.3198527994237,97.59063239627699
1104055020007,3832902804,43,48.837209302325576,47.590000299308045,1.0320015385241708,100.0,35.842050953351226,98.96799846147583
1104055020004,4197387980,48,56.25,54.201632436016354,0.9245013782612362,100.0,35.95224581181589,99.07549862173876
1104055020005,3832902807,48,100.0,94.41354300731733,0.9245013782612362,100.0,38.66451678823085,99.07549862173876
1104055020002,4735613805,35,57.14285714285714,55.610571796292746,0.0,96.38031332263442,28.187585409406033,96.38031332263442
1104055020003,1945254550,42,100.0,100.0,0.0,100.0,36.30800046568069,100.0
1104055020001,4197392026,49,100.0,93.79789264485842,0.9056340031946805,100.0,39.44093988796932,99.09436599680532
1104055020014,3832897142,47,100.0,94.29468222023897,0.9441716203519008,100.0,38.423345411724995,99.0558283796481
1104055020008,4197392022,48,43.75,42.074062902195195,0.9245013782612362,100.0,37.58811809119831,99.07549862173876
1104055020201,4244222641,36,47.22222222222222,46.22907431241197,1.2326685043483152,97.22222222222221,34.50681650992629,95.9895537178739
1104055020301,3928116185,48,58.333333333333336,57.02982670170738,0.9245013782612362,98.6803225655438,29.517415940081715,97.75582118728256
1104055030002,6868623525,66,100.0,100.0,0.6723646387354446,100.0,33.2690569607553,99.32763536126456
1104055030001,13551152965,76,100.0,99.88239037910142,0.583895607322886,100.0,31.135600965541425,99.41610439267711
1104055030103,9083531581,88,48.86363636363637,47.44162912913532,0.5042734790515835,100.0,34.76419636065995,99.49572652094842
1104055030102,9083521282,72,68.05555555555556,66.06925973593505,0.6163342521741576,98.24043008739173,31.491283511112258,97.62409583521757
1104055030101,8332919083,96,53.125,51.54217051873991,0.4622506891306181,98.6803225655438,32.55917381913955,98.21807187641319
1104056010001,9483618374,77,58.44155844155844,55.53950286094407,0.5763125474875239,93.41875149569897,29.89498617908801,92.84243894821145
1104056010101,8431787751,87,56.32183908045977,53.65061366786667,0.5100697259372338,100.0,32.94273640897792,99.48993027406277
1104056010103,8431787766,92,60.86956521739131,57.95489200381774,0.4823485451797755,100.0,32.56984009378538,99.51765145482022
1104056010102,8431787733,98,53.06122448979592,51.23707526769546,0.45281700159734023,100.0,31.891144471469612,99.54718299840266
1104056010201,3832676325,76,77.63157894736842,75.0441672875996,0.0,93.33215612064238,30.870186628065905,93.33215612064238
1104056010202,2858053238,74,68.91891891891892,64.93290636197776,0.599676569682964,93.151944123903,32.44477952661511,92.55226755422002
1104056020006,3833113907,102,78.43137254901961,75.27666742373998,0.43505947212293467,100.0,36.97789709096451,99.56494052787707
1104056020004,1717109891,100,63.0,59.69281746033185,0.0,100.0,34.226490334185385,100.0
1104056020005,1717109884,104,65.38461538461539,62.89219611095696,0.0,100.0,36.402064381295176,100.0
1104056020002,3833114087,103,74.75728155339806,70.67862557427439,0.4308355937528091,100.0,37.48510349736792,99.5691644062472
1104056020003,3833114367,93,53.76344086021505,52.129552363430435,0.4771620016832188,100.0,30.13868032964569,99.52283799831677
1104056020001,3833114314,100,52.0,50.0335671385757,0.4437606615653934,100.0,36.27801762205938,99.55623933843461
1104056030007,3833006465,97,73.19587628865979,68.95708005503664,0.457485218108653,100.0,37.40211362263114,99.54251478189134
1104056030006,3833006533,99,39.39393939393939,38.1299329632718,0.896486184980593,100.0,37.21632408481837,99.10351381501941
1104056030005,3833006519,99,40.4040404040404,39.04974779975369,0.4482430924902965,100.0,37.544815189674,99.5517569075097
1104056030004,9083531541,84,47.61904761904761,45.91650834508718,0.5282865018635636,100.0,34.982220049751874,99.47171349813644
1104056030003,8495308966,87,67.81609195402298,64.117472151971,0.5100697259372338,100.0,37.12934514347785,99.48993027406277
1104056030002,4674043869,110,59.09090909090909,56.490667290678616,0.4034187832412667,100.0,31.488406633155808,99.59658121675874
1104056030001,9083531539,79,48.10126582278481,46.5172577641001,0.5617223564118904,100.0,34.53610143308402,99.43827764358811
1104056030108,2356306023,65,56.92307692307692,55.410436260442836,0.0,92.61435229040949,27.120124702648212,92.61435229040949
1104056030107,4636760143,67,67.16417910447761,65.1630601817256,0.6623293456199901,93.38191614959281,26.720009105784488,92.71958680397282
1104056030106,4636760130,76,65.78947368421053,62.96684278264455,0.583895607322886,94.1656366055621,28.665131173405026,93.58174099823921
1104056030105,4636760151,78,56.41025641025641,54.69134656635404,0.5689239250838377,94.31523566695793,28.03315791871028,93.7463117418741
1104056030104,4636760108,81,64.19753086419753,61.328436902523464,0.5478526685992512,94.52578249410763,29.824118291898746,93.97792982550838
1104056030103,4655066614,83,66.26506024096386,63.03433812471364,0.5346513994763776,94.65769134967131,29.710681036704504,94.12303995019494
1104056030102,4636760136,61,67.21311475409836,64.72210442293493,0.0,92.73095708233964,27.015130115929978,92.73095708233964
1104056030101,4636760141,61,67.21311475409836,64.86863444241513,0.0,92.73095708233964,26.890132907285125,92.73095708233964
1104057010001,3833113924,95,74.73684210526315,71.72603581025943,0.0,100.0,35.870689953216754,100.0
1104057010003,3833114126,85,62.35294117647059,59.829177076246886,0.0,100.0,33.86395739547888,100.0
1104057010002,3833114080,78,53.84615384615385,51.668868043877524,0.0,100.0,34.386831028252935,100.0
1104057010115,4639723023,73,68.4931506849315,63.84032075129991,0.0,98.26453378482474,37.684993750584056,98.26453378482474
1104057010114,4637843584,80,57.49999999999999,54.93022978336596,0.0,98.41638707865256,34.69070690115134,98.41638707865256
1104057010117,7991097578,67,56.71641791044776,53.78144349041149,0.0,98.10911889988367,34.69179971855767,98.10911889988367
1104057010116,4640923245,68,67.64705882352942,63.44078532315658,0.0,98.13692597488537,37.102603149398384,98.13692597488537
1104057010101,4640923221,70,57.14285714285714,54.716738677463525,0.0,98.19015666131722,33.780001377040826,98.19015666131722
1104057010103,4639723022,73,63.013698630136986,58.850640268466606,0.0,98.26453378482474,37.21928765369215,98.26453378482474
1104057010102,4637843577,83,56.62650602409639,54.47269127992958,0.0,98.47362609990608,34.23055682093023,98.47362609990608
1104057010105,4640923237,79,62.0253164556962,58.63101347280039,0.0,98.39634134547096,35.1458301334731,98.39634134547096
1104057010104,4640923232,65,56.92307692307692,54.17282117283314,0.0,98.05093794295699,35.38814150413251,98.05093794295699
1104057010107,4639723023,73,68.4931506849315,63.84032075129991,0.0,98.26453378482474,37.684993750584056,98.26453378482474
1104057010106,4640923230,50,44.0,41.13973401974647,0.0,97.46621932584411,36.29454113049791,97.46621932584411
1104057010119,4640923239,84,58.333333333333336,55.566707013147635,0.0,98.49179721776434,34.88357115689696,98.49179721776434
1104057010118,4640923217,60,53.333333333333336,50.50286179037411,0.0,97.88851610487009,34.615813150131075,97.88851610487009
1104057010108,4640923242,72,65.27777777777779,60.808612183631645,0.0,98.24043008739173,38.02720169320281,98.24043008739173
1104057010109,4640923250,70,65.71428571428571,61.24512012013957,0.0,98.19015666131722,37.91037720856965,98.19015666131722
1104057010111,4639723025,90,54.44444444444444,51.96157466991881,0.0,98.5923440699134,34.057967877951334,98.5923440699134
1104057010110,4639723027,74,63.51351351351351,59.16513617866862,0.0,98.28798603097574,37.4796980392485,98.28798603097574
1104057010113,4637862220,71,56.33802816901409,53.19072845482667,0.0,98.21564741256627,35.68287009053369,98.21564741256627
1104057010112,4640923218,84,57.14285714285714,54.80186564116154,0.0,98.49179721776434,34.11803683376676,98.49179721776434
1104057010201,4640923225,55,49.09090909090909,46.81569751570742,0.0,97.69656302349463,33.65627542672888,97.69656302349463
1104057020002,3833147120,76,46.05263157894737,44.5237065072658,0.0,100.0,31.367347109854,100.0
1104057020001,4697491689,90,51.11111111111111,49.42275966443368,0.0,100.0,30.30216350652276,100.0
1104057020104,4697513809,59,49.152542372881356,48.395056678958284,0.0,94.63182060560192,25.18272942894358,94.63182060560192
1104057020102,4697513812,56,48.214285714285715,47.25660737268297,0.0,94.34423956661631,25.3921370649801,94.34423956661631
1104057020103,4697514624,64,45.3125,44.334870026280534,0.0,95.05120962078927,26.672134639638582,95.05120962078927
1104057020101,4697513793,64,45.3125,44.334870026280534,0.0,95.05120962078927,26.672134639638582,95.05120962078927
1104057020202,4697491483,92,46.73913043478261,44.69885918528111,0.4823485451797755,96.5573632144621,29.90245624948353,96.07501466928233
1104057020203,4697491486,81,41.9753086419753,40.651111428894964,0.0,96.08984463864832,29.13390976939462,96.08984463864832
1104057020201,4697491482,83,43.373493975903614,41.973514392195185,0.0,96.18406524976521,28.74435272684457,96.18406524976521
1104057020306,4646375973,84,50.0,48.72309554452967,0.0,97.73769582664652,31.209239600251212,97.73769582664652
1104057020307,8214317351,79,53.16455696202531,49.54396711360312,0.0,97.59451201820643,35.95550880731031,97.59451201820643
1104057020304,8214317346,73,54.794520547945204,51.24367665122635,0.0,97.3968006772371,36.03397716783905,97.3968006772371
1104057020305,8214317371,74,52.702702702702695,49.92457273877401,0.0,97.43197904646361,34.237846251817174,97.43197904646361
1104057020302,8214317294,88,45.45454545454545,43.7278223840799,0.0,97.84052783452623,32.670318758276984,97.84052783452623
1104057020303,8214317195,70,41.42857142857143,39.89628608200704,0.0,97.28523499197584,32.55387958680093,97.28523499197584
1104057020301,4646375977,100,59.0,56.765417202926926,0.0,98.09966449438309,32.34780997717691,98.09966449438309
1104057020312,8214317358,70,58.57142857142858,54.996096096111664,0.0,97.28523499197584,36.10193110462575,97.28523499197584
1104057020313,8214317350,72,56.94444444444444,53.46842676010856,0.0,97.36064513108761,36.02611289079645,97.36064513108761
1104057020314,8214317241,71,47.88732394366197,45.99894411514951,0.0,96.80719670834091,33.02624625844906,96.80719670834091
1104057020315,8214317198,86,45.348837209302324,43.581957788360825,0.0,97.79030755160824,32.45674880250808,97.79030755160824
1104057020308,8214317241,71,47.88732394366197,45.99894411514951,0.0,96.80719670834091,33.02624625844906,96.80719670834091
1104057020309,8214317304,80,46.25,43.68022978336597,0.0,97.62458061797885,34.45565503304661,97.62458061797885
1104057020310,8214317367,70,55.714285714285715,52.649715021156936,0.0,97.28523499197584,35.23693625384956,97.28523499197584
1104057020311,8214317373,77,51.94805194805194,48.81383192098841,0.0,97.53203181088712,34.867348037165826,97.53203181088712
1104057020403,4697491695,89,65.1685393258427,63.46121763819137,0.0,100.0,33.315684599244946,100.0
1104057020401,4697491689,90,51.11111111111111,49.42275966443368,0.0,100.0,30.30216350652276,100.0
1104057020402,4697491695,89,65.1685393258427,63.46121763819137,0.0,100.0,33.315684599244946,100.0
1104058010001,7613988478,18,100.0,100.0,2.4653370086966304,100.0,32.57896842631495,97.53466299130336
