station,reduction_pct,classic_nodes,mean_svf,mean_canopy,hot_link_ratio,bridge_ratio,river_dist_m,n_links
왕십리역,46.1,1470,0.515103412662775,0.001930713964975303,0.16120341266277505,0.009878760664571173,1100,2227
행당역,41.1,1123,0.49306445526475956,0.0031863055386488126,0.1898965307364577,0.013390139987827145,750,1643
응봉역,68.6,891,0.5933015220700152,0.00362054794520548,0.3310502283105023,0.0243531202435312,150,1314
뚝섬역,35.6,753,0.6484487906588824,0.0017328607172643871,0.3603002502085071,0.012510425354462052,220,1199
성수역,13.0,644,0.5081017257909876,0.0007744007670182166,0.06327900287631831,0.0009587727708533077,900,1043
서울숲역,67.8,736,0.7109831212892281,0.002159711620016963,0.45631891433418154,0.020356234096692113,350,1179
옥수역,29.8,205,0.43104078014184394,0.006615248226950354,0.11347517730496454,0.024822695035460994,80,282
