집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104054010102,464.9,127.0399319682526,37.56636609351371,171.3545,171.3545,122.0741,35.2273,0.0,0.0,49.2804,28.76,136.1272,79.44,thermal_robust
1104054010101,226.6,127.0394515362438,37.565958365500634,187.7101,187.7101,137.1209,35.2824,0.0,0.0,50.5892,26.95,152.4277,81.2,moderate
1104054010301,679.9,127.03891573453704,37.56677494430081,159.1998,159.1998,118.2697,34.6614,0.0,0.0,40.9301,25.71,124.5384,78.23,thermal_robust
1104054010302,471.7,127.0382434265457,37.5669311940186,183.3991,183.3991,134.6506,0.0,0.0,0.0,48.7485,26.58,183.3991,100.0,thermal_prone
1104054010601,270.6,127.04432216735697,37.56967694996839,122.4273,122.4273,88.8855,2.0,0.0,0.0,33.5418,27.4,120.4273,98.37,moderate
1104054010602,301.4,127.0434581699092,37.56858317842452,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010701,163.3,127.04302672457888,37.56911774158525,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010703,374.6,127.04288051099896,37.56957230896986,119.5481,119.5481,1.0,1.0,0.0,0.0,118.5481,99.16,118.5481,99.16,moderate
1104054010702,334.9,127.04177025575082,37.569385604949275,139.4789,139.4789,102.5161,0.0,0.0,0.0,36.9628,26.5,139.4789,100.0,thermal_prone
1104054010705,236.2,127.04238055316527,37.57052713858784,122.2271,122.2271,88.7273,0.0,0.0,0.0,33.4998,27.41,122.2271,100.0,thermal_prone
1104054010704,188.0,127.0437753594574,37.570165266152635,39.3565,39.3565,0.0,0.0,0.0,0.0,39.3565,100.0,39.3565,100.0,thermal_prone
1104054010707,396.2,127.042613418096,37.56885450386474,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010706,154.3,127.04311310741936,37.57046913835008,119.5481,119.5481,1.0,1.0,0.0,0.0,118.5481,99.16,118.5481,99.16,moderate
1104054020008,112.9,127.03482740435892,37.569573623837826,141.5913,141.5913,110.3593,0.0,0.0,0.0,31.232,22.06,141.5913,100.0,thermal_prone
1104054020009,91.1,127.03603547686744,37.56691846753145,187.3729,187.3729,149.8867,0.0,0.0,0.0,37.4862,20.01,187.3729,100.0,thermal_prone
1104054020010,951.4,127.03668353368418,37.571532701899784,123.7553,123.7553,90.7236,2.9912,0.0,0.0,33.0317,26.69,120.7641,97.58,moderate
1104054020006,268.4,127.0348804914484,37.56690218843373,185.4335,185.4335,149.7196,0.0,0.0,0.0,35.7139,19.26,185.4335,100.0,thermal_prone
1104054020007,280.2,127.0364693675262,37.569418339312186,159.7798,159.7798,114.3266,2.9737,0.0,0.0,45.4532,28.45,156.8061,98.14,moderate
1104054020004,24.6,127.03485841571484,37.570851948644936,129.5957,129.5957,84.69,0.0,0.0,0.0,44.9057,34.65,129.5957,100.0,thermal_prone
1104054020005,209.2,127.03353779768383,37.56987213022567,141.4947,141.4947,113.5405,0.0,0.0,0.0,27.9542,19.76,141.4947,100.0,thermal_prone
1104054020002,724.6,127.03402747349568,37.56806949391659,167.6391,167.6391,0.0,0.0,0.0,0.0,167.6391,100.0,167.6391,100.0,thermal_prone
1104054020003,571.0,127.03685420653244,37.57034086897949,147.0913,147.0913,107.912,2.9919,0.0,0.0,39.1793,26.64,144.0994,97.97,moderate
1104054020001,156.6,127.03584335367368,37.56839691682267,172.2129,172.2129,130.5987,0.0,0.0,0.0,41.6142,24.16,172.2129,100.0,thermal_prone
1104054030001,201.9,127.0424714826867,37.56345720372831,167.6163,167.6163,119.9157,0.0,0.0,0.0,47.7006,28.46,167.6163,100.0,thermal_prone
1104054030006,884.9,127.04270123014538,37.565188272749154,162.3152,162.3152,97.1858,0.0,0.0,0.0,65.1294,40.13,162.3152,100.0,thermal_prone
1104054030005,828.7,127.04419280293892,37.56579889141116,153.3233,153.3233,97.5532,0.0,0.0,0.0,55.7701,36.37,153.3233,100.0,thermal_prone
1104054030004,1090.4,127.04653330248676,37.566726105831464,127.733,127.733,0.0,0.0,0.0,0.0,127.733,100.0,127.733,100.0,thermal_prone
1104054030003,613.8,127.04568560792733,37.56374791270627,156.9003,156.9003,93.1187,0.0,0.0,0.0,63.7816,40.65,156.9003,100.0,thermal_prone
1104054030002,272.8,127.04348207812892,37.56300969050845,143.4952,143.4952,0.0,0.0,0.0,0.0,143.4952,100.0,143.4952,100.0,thermal_prone
1104054030104,35.5,127.04462712544569,37.56525499679663,153.3233,153.3233,97.5532,0.0,0.0,0.0,55.7701,36.37,153.3233,100.0,thermal_prone
1104054030103,1261.4,127.04464512128074,37.56416575755745,156.0669,156.0669,75.4712,0.0,0.0,0.0,80.5957,51.64,156.0669,100.0,thermal_prone
1104054030102,164.3,127.0452818240462,37.564930005882744,153.3233,153.3233,97.5532,0.0,0.0,0.0,55.7701,36.37,153.3233,100.0,thermal_prone
1104054030101,41.8,127.04595832196004,37.565323997668415,134.4956,134.4956,79.8906,1.9784,0.0,0.0,54.605,40.6,132.5172,98.53,moderate
1104054040001,680.3,127.03881104275604,37.564789040452645,189.6716,189.6716,134.2622,35.7688,0.0,0.0,55.4094,29.21,153.9028,81.14,moderate
1104054040002,489.6,127.03960154582884,37.56298877719727,205.0077,205.0077,132.7597,36.7848,0.0,0.0,72.248,35.24,168.2229,82.06,moderate
1104054040003,768.8,127.04085074361603,37.5644860019107,190.3233,190.3233,128.1734,0.0,0.0,0.0,62.1499,32.65,190.3233,100.0,thermal_prone
1104054040201,351.5,127.0391101581956,37.565411847678256,189.398,189.398,139.4263,35.3653,0.0,0.0,49.9717,26.38,154.0327,81.33,moderate
1104054040301,378.1,127.04112613182944,37.56247263866612,200.8092,200.8092,129.0069,37.3738,0.0,0.0,71.8023,35.76,163.4354,81.39,moderate
1104054040302,728.6,127.04040862442145,37.56315454951469,197.9648,197.9648,126.3817,36.2209,0.0,0.0,71.5831,36.16,161.7439,81.7,moderate
1104054040501,511.8,127.04017249285415,37.56454959518327,193.3227,193.3227,126.0375,0.0,0.0,0.0,67.2852,34.8,193.3227,100.0,thermal_prone
1104054040502,334.1,127.0393583724436,37.5641683820125,192.7714,192.7714,125.1506,0.0,0.0,0.0,67.6208,35.08,192.7714,100.0,thermal_prone
1104055010004,1308.6,127.04058225293416,37.56029444339171,237.9863,237.9863,139.7071,37.7136,0.0,0.0,98.2792,41.3,200.2727,84.15,moderate
1104055010001,412.3,127.04007523184228,37.55885255056481,240.4308,240.4308,138.6342,37.052,0.0,0.0,101.7966,42.34,203.3788,84.59,moderate
1104055010003,603.9,127.03966558045904,37.56092593689968,232.9925,232.9925,142.7854,37.6192,0.0,0.0,90.2071,38.72,195.3733,83.85,moderate
1104055010002,940.1,127.04074732465996,37.561298497447495,218.492,218.492,134.2519,37.6474,0.0,0.0,84.2401,38.56,180.8446,82.77,moderate
1104055010005,1013.2,127.0397005187298,37.56181527935899,215.2628,215.2628,136.9938,37.4685,0.0,0.0,78.269,36.36,177.7943,82.59,moderate
1104055020009,259.6,127.048152721006,37.56299347480758,130.3971,130.3971,68.8035,33.1703,0.0,0.0,61.5936,47.24,97.2268,74.56,thermal_robust
1104055020010,664.0,127.04562826822216,37.5604339560262,179.8524,179.8524,107.1468,36.4466,0.0,0.0,72.7056,40.43,143.4058,79.74,thermal_robust
1104055020011,1015.5,127.04815221499004,37.55936463586922,141.7543,141.7543,82.809,0.0,0.0,0.0,58.9453,41.58,141.7543,100.0,thermal_prone
1104055020012,431.7,127.0431788639686,37.56136149415404,198.288,198.288,118.4974,0.0,0.0,0.0,79.7906,40.24,198.288,100.0,thermal_prone
