집계구코드,tarr,classic_cnt,thermal_cnt,lost_cnt,mean_svf,mean_canopy,mean_bld_H,hw_ratio,hot_link_ratio,n_links
1104054040201,53.62,69,32,37,0.2930166666666666,0.0,24.616666666666664,5.684666666666668,0.0,12
1104054040301,39.19,74,45,29,0.48085,0.0,11.0,1.8335,0.0,4
1104055010004,43.02,86,49,37,0.4119055555555555,0.0,11.43888888888889,2.4935,0.1111111111111111,72
1104055010001,49.38,81,41,40,0.6729739130434783,0.0131891304347826,6.602173913043478,1.1970217391304347,0.5434782608695652,92
1104055010003,43.02,86,49,37,0.3728047619047619,0.0,13.314285714285717,3.0857142857142854,0.0,42
1104055010002,45.0,80,44,36,0.4168785714285714,0.0,12.585714285714284,2.254857142857143,0.0,28
1104055010005,43.59,78,44,34,0.32025,0.0,18.42,4.296166666666666,0.0,60
1104055020009,64.29,42,15,27,0.4202482142857143,2.3214285714285715e-05,14.726785714285716,3.1226785714285716,0.2321428571428571,112
1104055020010,44.64,56,31,25,0.5726,0.0,6.125,1.575,0.5,8
1104055020011,100.0,36,0,36,0.6342068965517241,0.0,5.3310344827586205,1.321206896551724,0.5862068965517241,58
1104055020012,100.0,68,0,68,0.445,0.0,9.647368421052631,2.775136842105263,0.2736842105263158,178
1104055020006,42.25,71,41,30,0.4819495145631068,0.0034184466019417,12.918446601941747,3.0444174757281552,0.3592233009708738,194
1104055020007,48.84,43,22,21,0.4981928571428571,0.0,8.407142857142857,1.9130714285714288,0.4285714285714285,28
1104055020004,56.25,48,21,27,0.5848833333333333,0.0,5.966666666666666,1.5278333333333334,0.5,12
1104055020005,100.0,48,0,48,0.52178,0.0,7.366666666666666,1.7455999999999998,0.4,30
1104055020002,57.14,35,15,20,0.4971851851851852,0.0005666666666666,10.520987654320988,2.6149506172839505,0.382716049382716,162
1104055020003,100.0,42,0,42,0.6277380952380953,0.0,5.747619047619048,1.3531428571428572,0.4761904761904761,42
1104055020001,100.0,49,0,49,0.588864705882353,0.0,7.488235294117647,1.677941176470588,0.6470588235294118,34
1104055020014,100.0,47,0,47,0.63708,0.0,6.3533333333333335,1.2567333333333333,0.8,30
1104055020008,43.75,48,27,21,0.554078947368421,0.0,6.268421052631578,1.743842105263158,0.5789473684210527,38
1104055020201,47.22,36,19,17,0.19665,0.0003,21.05,5.0835,0.0,4
1104055020301,58.33,48,20,28,0.6013695652173913,0.0123565217391304,14.634782608695652,3.3158260869565215,0.5217391304347826,46
1104055030002,100.0,66,0,66,0.7631018867924528,0.0150905660377358,5.40566037735849,0.941754716981132,0.7358490566037735,106
1104055030001,100.0,76,0,76,0.6186454545454545,0.0,7.3,1.3484545454545456,0.6363636363636364,22
1104055030103,48.86,88,45,43,0.2237666666666666,0.0034333333333333,45.1,14.561333333333332,0.0,6
1104055030102,68.06,72,23,49,0.8802999999999999,0.00166,3.6,0.45,1.0,10
1104055030101,53.12,96,45,51,0.829575,0.015595,5.720000000000001,1.2310500000000002,0.85,40
1104056010001,58.44,77,32,45,0.5056726708074534,0.0025,22.93105590062112,4.617782608695652,0.4596273291925465,310
1104056010101,56.32,87,38,49,0.2033333333333333,0.0,26.75,6.227833333333333,0.0,12
1104056010103,60.87,92,36,56,0.2495944444444444,0.0,35.42777777777778,8.541111111111112,0.1666666666666666,36
1104056010102,53.06,98,46,52,0.6405382352941177,0.0,11.21470588235294,2.228176470588235,0.5294117647058824,68
1104056010201,77.63,76,17,59,0.5567666666666667,0.0,13.366666666666667,2.2276666666666665,0.6666666666666666,6
1104056020006,78.43,102,22,80,0.611576923076923,0.0,9.1,1.3660769230769232,0.5384615384615384,26
1104056020004,63.0,100,37,63,0.611625,0.0,7.825,1.304125,0.75,16
1104056020005,65.38,104,36,68,0.58766,0.0,8.3,1.3834,0.7,20
1104056020002,74.76,103,26,77,0.6099212121212122,0.0,8.118181818181817,1.488909090909091,0.6363636363636364,66
1104056020003,53.76,93,43,50,0.6691613636363637,0.0227272727272727,11.072727272727272,1.8755,0.5681818181818182,88
1104056020001,52.0,100,48,52,0.4826733333333333,0.0,11.76,2.065,0.2666666666666666,30
1104056030007,73.2,97,26,71,0.6155333333333334,0.0,7.733333333333333,1.289,0.6666666666666666,6
1104056030006,39.39,99,60,39,0.6082615384615384,0.0,8.207692307692309,1.3573076923076923,0.6923076923076923,26
1104056030004,47.62,84,44,40,0.6368795918367347,0.0,11.008163265306122,3.0053673469387756,0.5918367346938775,98
1104056030003,67.82,87,28,59,0.6326090909090909,0.0,7.390909090909091,1.231818181818182,0.8181818181818182,22
1104056030002,59.09,110,45,65,0.5849632911392405,0.0062075949367088,7.49493670886076,1.6860632911392406,0.5063291139240507,158
