집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104054020010,951.4,127.03668353368418,37.571532701899784,158,114,123.7553,90.7236,33.0317,26.69,thermal_robust
1104054020006,268.4,127.0348804914484,37.56690218843373,229,185,185.4335,149.7196,35.7139,19.26,thermal_robust
1104054020007,280.2,127.0364693675262,37.569418339312186,202,142,159.7798,114.3266,45.4532,28.45,moderate
1104054020004,24.6,127.03485841571484,37.570851948644936,166,108,129.5957,84.69,44.9057,34.65,moderate
1104054020005,209.2,127.03353779768383,37.56987213022567,181,144,141.4947,113.5405,27.9542,19.76,thermal_robust
1104054020002,724.6,127.03402747349568,37.56806949391659,211,0,167.6391,0.0,167.6391,100.0,thermal_prone
1104054020003,571.0,127.03685420653244,37.57034086897949,186,135,147.0913,107.912,39.1793,26.64,thermal_robust
1104054020001,156.6,127.03584335367368,37.56839691682267,215,164,172.2129,130.5987,41.6142,24.16,thermal_robust
1104054030001,201.9,127.0424714826867,37.56345720372831,205,146,167.6163,119.9157,47.7006,28.46,moderate
1104054030006,884.9,127.04270123014538,37.565188272749154,197,123,162.3152,97.1858,65.1294,40.13,moderate
1104054030005,828.7,127.04419280293892,37.56579889141116,187,123,153.3233,97.5532,55.7701,36.37,moderate
1104054030004,1090.4,127.04653330248676,37.566726105831464,157,0,127.733,0.0,127.733,100.0,thermal_prone
1104054030003,613.8,127.04568560792733,37.56374791270627,194,117,156.9003,93.1187,63.7816,40.65,moderate
1104054030002,272.8,127.04348207812892,37.56300969050845,179,0,143.4952,0.0,143.4952,100.0,thermal_prone
1104054030104,35.5,127.04462712544569,37.56525499679663,187,123,153.3233,97.5532,55.7701,36.37,moderate
1104054030103,1261.4,127.04464512128074,37.56416575755745,191,95,156.0669,75.4712,80.5957,51.64,thermal_prone
1104054030102,164.3,127.0452818240462,37.564930005882744,187,123,153.3233,97.5532,55.7701,36.37,moderate
1104054030101,41.8,127.04595832196004,37.565323997668415,165,101,134.4956,79.8906,54.605,40.6,moderate
1104054040001,680.3,127.03881104275604,37.564789040452645,233,162,189.6716,134.2622,55.4094,29.21,moderate
1104054040002,489.6,127.03960154582884,37.56298877719727,249,158,205.0077,132.7597,72.248,35.24,moderate
1104054040003,768.8,127.04085074361603,37.5644860019107,234,154,190.3233,128.1734,62.1499,32.65,moderate
1104054040201,351.5,127.0391101581956,37.565411847678256,232,170,189.398,139.4263,49.9717,26.38,thermal_robust
1104054040301,378.1,127.04112613182944,37.56247263866612,247,154,200.8092,129.0069,71.8023,35.76,moderate
1104054040302,728.6,127.04040862442145,37.56315454951469,242,151,197.9648,126.3817,71.5831,36.16,moderate
1104054040501,511.8,127.04017249285415,37.56454959518327,239,152,193.3227,126.0375,67.2852,34.8,moderate
1104054040502,334.1,127.0393583724436,37.5641683820125,238,151,192.7714,125.1506,67.6208,35.08,moderate
1104055010004,1308.6,127.04058225293416,37.56029444339171,295,166,237.9863,139.7071,98.2792,41.3,moderate
1104055010001,412.3,127.04007523184228,37.55885255056481,299,166,240.4308,138.6342,101.7966,42.34,thermal_prone
1104055010003,603.9,127.03966558045904,37.56092593689968,288,170,232.9925,142.7854,90.2071,38.72,moderate
1104055010002,940.1,127.04074732465996,37.561298497447495,269,159,218.492,134.2519,84.2401,38.56,moderate
1104055010005,1013.2,127.0397005187298,37.56181527935899,263,162,215.2628,136.9938,78.269,36.36,moderate
1104055020009,259.6,127.048152721006,37.56299347480758,164,88,130.3971,68.8035,61.5936,47.24,thermal_prone
1104055020010,664.0,127.04562826822216,37.5604339560262,227,132,179.8524,107.1468,72.7056,40.43,moderate
1104055020011,1015.5,127.04815221499004,37.55936463586922,180,104,141.7543,82.809,58.9453,41.58,moderate
1104055020012,431.7,127.0431788639686,37.56136149415404,247,143,198.288,118.4974,79.7906,40.24,moderate
