집계구코드,tarr_35c,tarr_38c,tarr_41c
1104067020002,100.0,100.0,0.0
1104067020003,100.0,62.06,0.0
1104067020001,100.0,57.56,0.0
1104067020006,100.0,59.8,0.0
1104067020004,100.0,57.59,0.0
1104067020005,100.0,61.76,0.0
1104067020101,100.0,63.41,0.0
1104067030009,100.0,71.88,0.0
1104067030012,100.0,60.55,0.0
1104067030011,100.0,100.0,0.0
1104067030007,98.95,98.95,0.0
1104067030006,100.0,100.0,0.0
1104067030005,100.0,100.0,0.0
1104067030004,100.0,100.0,0.0
1104067030003,0.0,0.0,0.0
1104067030002,100.0,98.9,0.0
1104067030001,100.0,100.0,0.0
1104067030008,100.0,100.0,0.0
1104067030010,98.94,88.57,0.0
1104067030201,98.9,98.9,0.0
1104067030301,0.0,0.0,0.0
1104067030401,100.0,82.41,0.0
1104067030501,100.0,83.57,0.0
1104067040006,100.0,100.0,0.0
1104067040001,100.0,100.0,0.0
1104067040002,100.0,98.96,0.0
1104067040003,100.0,98.9,0.0
1104067040004,98.95,98.95,0.0
1104067040005,100.0,100.0,0.0
1104067040101,0.0,0.0,0.0
1104067040201,100.0,98.9,0.0
1104068010004,100.0,63.34,0.0
1104068010006,100.0,56.72,0.0
1104068010001,100.0,71.71,0.0
1104068010003,100.0,65.62,0.0
1104068010002,100.0,62.36,0.0
1104068010005,100.0,57.23,0.0
1104068010101,100.0,56.72,0.0
1104068010103,100.0,52.53,0.0
1104068010102,100.0,51.71,0.0
1104068010104,100.0,57.23,0.0
1104068010201,100.0,54.22,0.0
1104068010203,100.0,53.17,0.0
1104068010202,100.0,57.31,0.0
1104068010301,100.0,67.52,0.0
1104068020002,100.0,47.36,0.0
1104068020001,100.0,48.51,0.0
1104068020101,100.0,46.83,0.0
1104068020301,100.0,48.58,0.0
1104068030003,100.0,54.8,0.0
1104068030002,100.0,58.91,0.0
1104068030001,100.0,100.0,0.0
1104068030101,100.0,58.98,0.0
1104068040001,100.0,100.0,0.0
1104069010009,100.0,100.0,0.0
1104069010008,100.0,100.0,0.0
1104069010006,100.0,100.0,0.0
1104069010001,100.0,50.62,0.0
1104069010003,100.0,100.0,0.0
1104069010002,100.0,57.64,0.0
1104069010005,100.0,40.86,0.0
1104069010004,100.0,100.0,0.0
1104069010007,100.0,100.0,0.0
1104069010012,100.0,60.74,0.0
1104069010011,100.0,100.0,0.0
1104069010014,100.0,100.0,0.0
1104069010013,100.0,100.0,0.0
1104069010010,100.0,46.25,0.0
1104069010101,100.0,45.52,0.0
1104069010102,100.0,100.0,0.0
1104069010201,100.0,45.99,0.0
1104069010202,100.0,36.77,0.0
1104069020001,100.0,100.0,0.0
1104069020004,100.0,100.0,0.0
1104069020005,99.14,99.14,0.0
1104069020002,100.0,100.0,0.0
1104069020003,100.0,100.0,0.0
1104070010004,100.0,84.25,0.0
1104070010001,100.0,100.0,0.0
1104070010003,100.0,67.83,0.0
1104070010002,100.0,100.0,0.0
1104070020025,100.0,92.87,0.0
1104070020022,100.0,100.0,0.0
1104070020023,100.0,91.32,0.0
