station,lat,lon,catchment_nodes,catchment_area_m2,green_ratio_pct,street_tree_ratio_pct,urban_forest_ratio_pct,river_dist_m,mean_utci_13h,mean_bld_height_m,reduction_pct_h07,reduction_pct_h10,reduction_pct_h13,reduction_pct_h16
왕십리역,37.5613,127.0377,1470,2051711,9.6,0.05,6.46,929,40.7,9.3,21.4,22.1,29.2,29.2
행당역,37.5572,127.0305,1123,1924966,22.12,0.19,21.1,958,40.1,12.6,30.5,31.0,41.2,41.2
응봉역,37.552,127.0353,891,1438757,27.41,0.11,26.17,247,40.9,12.4,41.0,44.3,52.1,51.9
뚝섬역,37.547,127.0475,753,1884432,14.66,0.17,13.71,668,41.7,10.4,38.5,39.3,49.3,49.3
성수역,37.5447,127.0561,644,1952342,4.8,0.05,4.22,672,40.1,9.5,27.5,27.5,38.2,38.1
서울숲역,37.5446,127.0448,736,1787994,20.84,0.19,19.91,360,41.9,10.2,39.8,40.1,51.2,51.1
옥수역,37.5402,127.0171,205,663182,15.07,0.57,13.97,596,39.9,13.6,41.8,41.8,50.7,50.7
