u,v,svf,mean_bld_H,road_W,HW_ratio,canopy_ratio,highway
436808715,8399236469,0.9487,3.0,9.0,0.333,0.0,tertiary
436808715,436855774,1.0,0.0,8.0,0.0,0.0835,primary_link
436808744,3800707759,0.9487,3.0,9.0,0.333,0.0,tertiary
436808744,4935195291,0.9487,3.0,9.0,0.333,0.0,tertiary
436808744,8399236468,0.8944,3.0,6.0,0.5,0.0,tertiary_link
436808828,12452956227,1.0,0.0,9.0,0.0,0.0,tertiary
436808828,13399427640,0.2747,31.5,9.0,3.5,0.0,tertiary
436808828,1859641634,0.1961,45.0,9.0,5.0,0.0,tertiary
436821922,3846108091,0.2971,19.3,6.0,3.217,0.0,residential
436821922,4177446010,0.7071,16.0,16.0,1.0,0.0,primary
436821922,3846108090,0.606,21.0,16.0,1.312,0.0,primary
436821934,2006019923,0.6283,11.1,9.0,1.233,0.0006,tertiary
436821934,8952652917,0.8,9.0,12.0,0.75,0.0021,secondary
436821934,9040007393,0.6644,18.0,16.0,1.125,0.0004,primary
436821934,1306420373,0.8144,11.4,16.0,0.713,0.0116,primary
436821938,9994039386,0.9055,7.5,16.0,0.469,0.0,primary
436821938,3846108108,0.4813,10.9,6.0,1.817,0.0,residential
436821938,4179132969,0.9236,6.6,16.0,0.412,0.0,primary
436821940,9994039383,0.7295,15.0,16.0,0.938,0.0,primary
436821940,4179132967,0.4061,13.5,6.0,2.25,0.0,residential
436821940,4179132969,0.7714,13.2,16.0,0.825,0.0,primary
436821942,3856575558,0.5488,24.4,16.0,1.525,0.0122,primary
436821942,3856575437,0.4061,13.5,6.0,2.25,0.0,residential
436823575,8502320521,0.6823,9.6,9.0,1.067,0.0,tertiary
436823575,1855204529,0.6,12.0,9.0,1.333,0.0,tertiary
436823575,7856245734,0.2747,10.5,3.0,3.5,0.0,footway
436823575,7856245752,0.3846,7.2,3.0,2.4,0.0063,footway
436823603,4148031678,0.7557,7.8,9.0,0.867,0.0,tertiary
436823603,3846735363,0.6028,7.9,6.0,1.317,0.0,residential
436823603,3846729652,0.7399,8.2,9.0,0.911,0.0,tertiary
436823603,3846729647,0.6974,6.2,6.0,1.033,0.0,residential
436823611,4179349688,0.8563,5.4,9.0,0.6,0.0,tertiary
436823611,4179354296,0.8256,6.2,9.0,0.689,0.0,tertiary
436823611,4179354302,0.6991,6.1,6.0,1.017,0.0,residential
436823891,4179265291,0.6426,7.2,6.0,1.2,0.0,residential
436823891,3854893928,0.7531,7.9,9.0,0.878,0.0,tertiary
436823891,4179265292,0.7649,7.6,9.0,0.844,0.0,tertiary
436823891,8498948785,0.6473,7.1,6.0,1.183,0.0,residential
436823891,3854893955,0.5716,8.6,6.0,1.433,0.0,residential
436824983,3856575627,0.8944,3.0,6.0,0.5,0.0,residential
436824983,1306420387,0.7714,9.9,12.0,0.825,0.0,secondary
436824985,3856575403,0.6,8.0,6.0,1.333,0.0,residential
436824985,5062211516,0.8638,7.0,12.0,0.583,0.0,secondary
436824985,3856575395,0.7328,11.1,12.0,0.925,0.0,secondary
436827082,4076814783,1.0,0.0,6.0,0.0,0.0172,secondary_link
436827082,9596039973,1.0,0.0,12.0,0.0,0.0,secondary
436827082,3807095963,1.0,0.0,12.0,0.0,0.0097,secondary
436827093,6122919349,0.7295,11.2,12.0,0.933,0.0,secondary
436827093,436827094,0.6854,12.8,12.0,1.067,0.0,secondary
436827093,3807096446,0.5761,8.5,6.0,1.417,0.0,residential
436827094,436827095,0.7526,10.5,12.0,0.875,0.0,secondary
436827094,3807096500,0.4138,13.2,6.0,2.2,0.0,secondary_link
436827094,8489958120,0.5843,8.3,6.0,1.383,0.0,secondary_link
436827095,8489958127,0.8944,6.0,12.0,0.5,0.0,secondary
436827095,8489958120,0.8321,8.0,12.0,0.667,0.0,secondary
436827095,3807096500,0.4472,24.0,12.0,2.0,0.0,secondary
436827110,4200916229,0.0995,60.0,6.0,10.0,0.0,residential
436827110,8463699879,0.9487,3.0,9.0,0.333,0.0012,tertiary
436827110,8142256170,0.2631,33.0,9.0,3.667,0.0,tertiary
436827118,4200850049,0.7328,11.1,12.0,0.925,0.0025,secondary
436827118,2718296794,0.7682,7.5,9.0,0.833,0.0,tertiary
436827118,3848968727,0.7071,6.0,6.0,1.0,0.0,residential
436827118,8598787936,0.7682,10.0,12.0,0.833,0.0079,secondary
436827118,3848968695,0.6668,10.1,9.0,1.122,0.0,tertiary
436827125,3849606087,0.7071,12.0,12.0,1.0,0.0247,secondary
436827125,3849146224,0.8944,3.0,6.0,0.5,0.0,residential
436827166,3848966653,0.8742,6.7,12.0,0.558,0.0492,secondary
436827166,436836899,0.87,6.8,12.0,0.567,0.0,secondary
436827166,3807096434,0.5677,8.7,6.0,1.45,0.0,residential
436827166,3848967796,0.6718,6.6,6.0,1.1,0.0,residential
436827166,3807096499,0.824,8.2,12.0,0.683,0.0456,secondary
436827170,3807096556,0.6508,7.0,6.0,1.167,0.1578,secondary_link
436827170,3849034883,0.5547,9.0,6.0,1.5,0.0,residential
436827170,8213963875,0.5241,9.8,6.0,1.633,0.0062,residential
436827170,436827171,0.8,9.0,12.0,0.75,0.0993,secondary
436827170,3807096540,0.8702,6.8,12.0,0.567,0.0,secondary
436827171,1936511293,0.9701,3.0,12.0,0.25,0.0733,secondary
436827171,3807096556,0.8944,3.0,6.0,0.5,0.3054,secondary_link
436827172,1936511293,0.9701,3.0,12.0,0.25,0.0,secondary
436827172,13233950654,0.9829,3.0,16.0,0.188,0.0001,primary
436827172,3807096323,0.3796,14.6,6.0,2.433,0.0,residential
436831356,436831391,0.9578,3.0,10.0,0.3,0.0,trunk_link
436831356,732247759,1.0,0.0,10.0,0.0,0.0,"['trunk_link', 'trunk']"
436831391,11850302535,1.0,0.0,12.0,0.0,0.0,secondary
436831391,436849812,0.9701,3.0,12.0,0.25,0.0,secondary
436832364,3833147159,0.4472,12.0,6.0,2.0,0.0201,residential
436832364,436832366,0.6508,14.0,12.0,1.167,0.0,secondary
436832364,8463699875,0.5767,17.0,12.0,1.417,0.0771,secondary
436832366,3848968875,0.7071,12.0,12.0,1.0,0.0,secondary
436832366,3849606084,0.4789,22.0,12.0,1.833,0.0276,secondary
436832366,4646012772,0.8,9.0,12.0,0.75,0.0,secondary
436836475,4639723025,0.1404,35.2,5.0,7.04,0.0,service
436836475,8494048089,0.4258,25.5,12.0,2.125,0.0,secondary
436836475,4640923246,0.5882,16.5,12.0,1.375,0.0,secondary
436836479,3833113894,0.4706,11.2,6.0,1.867,0.0,residential
436836479,1717116492,0.7936,9.2,12.0,0.767,0.0,secondary
436836479,1717116288,0.7316,11.2,12.0,0.933,0.0,secondary
436836481,4674024013,0.3162,9.0,3.0,3.0,0.0,footway
436836481,4674024012,0.3162,9.0,3.0,3.0,0.0,footway
436836481,2357023307,0.8815,6.4,12.0,0.533,0.0,secondary
436836860,436836861,0.6508,14.0,12.0,1.167,0.0,secondary
436836860,3807095145,0.3162,18.0,6.0,3.0,0.0,residential
436836860,3807095126,0.5442,18.5,12.0,1.542,0.0,secondary
436836861,3807095864,0.6163,11.5,9.0,1.278,0.0,tertiary
436836861,8213959266,0.7433,10.8,12.0,0.9,0.0,secondary
436836884,5062336386,0.1248,39.8,5.0,7.96,0.0,service
436836884,4201516964,0.8384,7.8,12.0,0.65,0.0,secondary
436836884,3807095971,0.1428,41.6,6.0,6.933,0.0,residential
436836884,3807096266,0.8384,7.8,12.0,0.65,0.0,secondary
436836899,3807096418,0.6968,6.2,6.0,1.033,0.0,residential
436836899,3848967815,0.7938,4.6,6.0,0.767,0.0,residential
436836899,4200916249,0.9062,5.6,12.0,0.467,0.0,secondary
436836902,3848966650,0.8638,7.0,12.0,0.583,0.0,secondary
436836902,3807096512,0.8793,6.5,12.0,0.542,0.0,secondary
436836902,3807096479,0.5932,8.1,6.0,1.35,0.0,residential
436838353,13233950654,0.9829,3.0,16.0,0.188,0.024,primary
436838353,13233950656,0.9363,3.0,8.0,0.375,0.0212,primary_link
436838353,8222978370,0.8827,8.5,16.0,0.531,0.0651,primary
436838740,3851466455,0.2577,45.0,12.0,3.75,0.0774,secondary
436838740,436838745,1.0,0.0,12.0,0.0,0.0,secondary
436838745,9577359733,1.0,0.0,6.0,0.0,0.0,secondary_link
436838745,969906038,0.2577,45.0,12.0,3.75,0.0128,secondary
436838745,4076817912,0.1104,54.0,6.0,9.0,0.0,secondary_link
436839040,4179354296,0.8214,6.2,9.0,0.689,0.0,tertiary
436839040,4179354303,0.8165,6.4,9.0,0.711,0.0,tertiary
436839040,9577037002,0.8167,6.4,9.0,0.711,0.0043,tertiary
436839040,4664731642,0.7655,7.6,9.0,0.844,0.0,tertiary
436839041,4179354305,0.8381,5.9,9.0,0.656,0.0,tertiary
436839041,3708974526,0.7727,9.9,12.0,0.825,0.0,secondary
436839041,4179354294,0.7495,10.6,12.0,0.883,0.0049,secondary
436839041,2551966223,0.7288,8.5,9.0,0.944,0.0,tertiary
436839061,3846729640,0.6703,13.3,12.0,1.108,0.0,secondary
436839061,7856245729,0.6897,12.6,12.0,1.05,0.0,secondary
436839061,7856245730,0.4472,12.0,6.0,2.0,0.0,residential
436839061,7856245725,0.3881,14.2,6.0,2.367,0.0,residential
436839062,4179264075,0.7761,9.8,12.0,0.817,0.0,secondary
436839062,10236589280,0.8267,8.2,12.0,0.683,0.0,secondary
436839062,10236589278,0.5328,9.5,6.0,1.583,0.0,residential
436839065,4652843026,0.8944,3.0,6.0,0.5,0.0,residential
436839065,9081846689,0.8275,8.1,12.0,0.675,0.0,secondary
436839065,9081846694,0.8,4.5,6.0,0.75,0.0,residential
436839065,3708961426,0.8,9.0,12.0,0.75,0.0,secondary
436839066,4179264086,0.8,4.5,6.0,0.75,0.0,residential
436839066,4652841532,0.3539,15.9,6.0,2.65,0.0,residential
436839066,4179354322,0.6925,12.5,12.0,1.042,0.0,secondary
436839066,2436216385,0.5655,17.5,12.0,1.458,0.008,secondary
436839074,4179009457,0.8831,8.5,16.0,0.531,0.0,primary
436839074,13070402066,0.8944,4.5,9.0,0.5,0.0,tertiary
436839074,8319137360,0.9265,6.5,16.0,0.406,0.0,primary
436839560,8497792064,0.7682,10.0,12.0,0.833,0.0,secondary
436839560,8497792056,1.0,0.0,12.0,0.0,0.0,secondary
436839560,3832677104,0.6,8.0,6.0,1.333,0.0,residential
